"","director","name","score","year","foreign"
"2479","Hal Haberman and Jeremy Passmore","Special",5,2008,FALSE
"2480","Hal Hartley","Fay Grim",6,2007,FALSE
"2481","Hal Hartley","Henry Fool",6.8,1998,FALSE
"2482","Hal Hartley","Ned Rifle",5.7,2015,FALSE
"2483","Hal Hartley","The Girl From Monday",6,2005,FALSE
"2484","Ham Tran"," Journey From the Fall",6,2007,TRUE
"2485","Hampton Fancher","Minus Man",5.8,1999,FALSE
"2486","Hannah Fidell","A Teacher",4,2013,FALSE
"2487","Hans-Christian Schmid","Storm",6,2009,FALSE
"2488","Hans Canosa","Conversations With Other Women",6,2006,FALSE
"2489","Hans Petter Moland","A Somewhat Gentle Man",6.8,2011,FALSE
"2490","Hans Weingartner"," The Edukators",6.5,2005,TRUE
"2491","Hans Weingartner","The Edukators",7,2004,FALSE
"2492","Hansal Mehta","Shahid",6,2013,FALSE
"2493","Hany Abu-Assad","Omar",6.8,2014,FALSE
"2494","Hany Abu-Assad","Paradise Now",7,2005,FALSE
"2495","Hany Abu-Assad","The Idol",6,2016,FALSE
"2496","Hany Abu-Assad","The Mountain Between Us",5,2017,FALSE
"2497","Harald Zwart","Agent Cody Banks",4,2003,FALSE
"2498","Harald Zwart","The Karate Kid",4,2010,FALSE
"2499","Harald Zwart","The Mortal Instruments",5,2013,FALSE
"2500","Harald Zwart","The Pink Panther 2",3,2009,FALSE
"2501","Harmony Korine","Julien Donkey Boy",7,1999,FALSE
"2502","Harmony Korine","Mister Lonely",7.1,2007,FALSE
"2503","Harmony Korine","Spring Breakers",7,2012,FALSE
"2504","Harmony Korine","Trash Humpers",7,2009,FALSE
"2505","Harold Becker","Domestic Disturbances",5.8,2001,FALSE
"2506","Harold Becker","Mercury Rising",5.7,1998,FALSE
"2507","Harold Guskin","Down the Shore",6.5,2013,FALSE
"2508","Harold Ramis","Analyze That",5,2002,FALSE
"2509","Harold Ramis","Analyze This",7,1999,FALSE
"2510","Harold Ramis","Bedazzled",5.5,2000,FALSE
"2511","Harold Ramis","The Ice Harvest",6.5,2005,FALSE
"2512","Harold Ramis","Year One",6.5,2009,FALSE
"2513","Harold Zwart","One Night At McCool's",5.7,2001,FALSE
"2514","Harry Dodge and Silas Howard","By Hook or by Crook",4,2002,FALSE
"2515","Harry Elfont","Can't Hardly Wait",5.4,1998,FALSE
"2516","Harry Ralston","The Last Man",5.5,2002,FALSE
"2517","Harry Shearer","Teddy Bears' Picnic",6.5,2002,FALSE
"2518","Harvey Kahn","The Deal",4.5,2005,FALSE
"2519","Harvey Wang","The Last New Yorker",6.3,2010,FALSE
"2520","Hassan Yektapanah","Djomeh",6.8,2001,FALSE
